city_name,plz,lat,lon,city_type,customers_covered_weighted,customers_covered_total
Berlin,10178,52.5213,13.4096,Top 200,11787.8,11867
Bergheim,50126,50.9562,6.6349,Top 200,8408.01,10485
Bottrop,46236,51.5232,6.9253,Top 200,7849.26,9563
Hamburg,20038,53.5544,9.9946,Top 200,5904.89,6002
Dachau,85221,48.26,11.434,Standard,5330.4,5680
Bad Homburg v. d. Höhe,61343,50.221465,8.62382,Top 200,4391.48,5021
Iserlohn,58636,51.38,7.7032,Top 200,3491.84,4381
Leonberg,71229,48.8,9.0167,Top 200,3651.74,3969
Peine,31224,52.3233,10.2307,Top 200,2463.49,3076
Neustadt an der Weinstraße,67433,49.3465,8.1491,Top 200,2172.22,2893
Elsfleth,26931,53.2375,8.4566,Standard,2309.35,2825
Halle (Saale),06108,51.483,11.972,Top 200,1987.93,2411
Bielefeld,33602,52.0245,8.5326,Top 200,1960.14,2360
Freiberg,09599,50.9109,13.3388,Standard,1505.56,1971
Nürnberg,90403,49.4541,11.0768,Top 200,1783.32,1809
Rheine,48431,52.2772,7.432,Top 200,1148.73,1588
Wahlstedt,23812,53.9516,10.2063,Standard,820.37,1261
Jena,07743,50.9326,11.5868,Top 200,852.79,1115
Waldkirch,79183,48.0959,7.9637,Standard,895.35,1058
Heidenheim an der Brenz,89522,48.6833,10.15,Top 200,751.16,906
Kassel,34117,51.3166,9.4912,Top 200,644.9,761
